,Year,Crash Descriptor,Date,Municipality,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Road Surface Conditions,Event Descriptor,Number of Vehicles Involved
1713,2015,Property Damage Accident,2015-01-03,NEW WINDSOR,OTHER,ORANGE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1725,2015,Property Damage & Injury Accident,2015-01-07,NORTH CASTLE,OTHER,WESTCHESTER,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1742,2015,Property Damage Accident,2015-01-06,SOUTHEAST,OTHER,PUTNAM,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1785,2015,Property Damage Accident,2015-01-06,KNOX,OTHER,ALBANY,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1793,2015,Property Damage Accident,2015-01-06,POLAND,OTHER,CHAUTAUQUA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1794,2015,Property Damage Accident,2015-01-06,ELLERY,OTHER,CHAUTAUQUA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1796,2015,Property Damage Accident,2015-01-05,PORTLAND,OTHER,CHAUTAUQUA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1808,2015,Property Damage & Injury Accident,2015-01-05,WEST MONROE,OTHER,OSWEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1809,2015,Injury Accident,2015-01-02,CONSTANTIA,OTHER,OSWEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1810,2015,Injury Accident,2015-01-07,RYE BROOKE,OTHER,WESTCHESTER,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1813,2015,Property Damage & Injury Accident,2015-01-04,CORINTH,OTHER,SARATOGA,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1814,2015,Property Damage Accident,2015-01-07,PROVIDENCE,OTHER,SARATOGA,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1837,2015,Property Damage Accident,2015-01-08,ISCHUA,OTHER,CATTARAUGUS,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1849,2015,Property Damage Accident,2015-01-04,MONTGOMERY,OTHER,ORANGE,Curve and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1961,2015,Property Damage & Injury Accident,2015-01-07,DRYDEN,OTHER,TOMPKINS,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
1964,2015,Property Damage Accident,2015-01-05,SOUTHEAST,OTHER,PUTNAM,Straight and Level,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2028,2015,Property Damage Accident,2015-01-05,CLAY,OTHER,ONONDAGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2031,2015,Property Damage Accident,2015-01-05,CICERO,OTHER,ONONDAGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2044,2015,Property Damage Accident,2015-01-03,BLOOMING GROVE,OTHER,ORANGE,Straight at Hill Crest,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2046,2015,Property Damage & Injury Accident,2015-01-03,GORHAM,OTHER,ONTARIO,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2047,2015,Property Damage Accident,2015-01-08,MIDDLESEX,OTHER,YATES,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2050,2015,Property Damage Accident,2015-01-06,HORSEHEADS,OTHER,CHEMUNG,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2099,2015,Property Damage & Injury Accident,2015-01-08,LANCASTER,OTHER,ERIE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2110,2015,Property Damage & Injury Accident,2015-01-07,BURLINGTON,OTHER,OTSEGO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2113,2015,Property Damage Accident,2015-01-07,OTSEGO,OTHER,OTSEGO,Curve and Grade,Snow,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2128,2015,Property Damage Accident,2015-01-03,CORTLAND,OTHER,CORTLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2129,2015,Property Damage Accident,2015-01-03,CORTLANDVILLE,OTHER,CORTLAND,Straight and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2130,2015,Property Damage Accident,2015-01-03,HOMER,OTHER,CORTLAND,Straight and Level,Sleet/Hail/Freezing Rain,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2134,2015,Property Damage Accident,2015-01-07,HOMER,OTHER,CORTLAND,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2139,2015,Property Damage & Injury Accident,2015-01-08,DANSVILLE,OTHER,STEUBEN,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2140,2015,Property Damage & Injury Accident,2015-01-04,CORNING,OTHER,STEUBEN,Straight and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2141,2015,Property Damage & Injury Accident,2015-01-07,FREMONT,OTHER,STEUBEN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2144,2015,Property Damage Accident,2015-01-07,CORNING,OTHER,STEUBEN,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2145,2015,Property Damage Accident,2015-01-07,ALLEN,OTHER,ALLEGANY,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2195,2015,Property Damage & Injury Accident,2015-01-08,DAVENPORT,OTHER,DELAWARE,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2196,2015,Injury Accident,2015-01-01,MALONE,OTHER,FRANKLIN,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2198,2015,Property Damage & Injury Accident,2015-01-01,BELLMONT,OTHER,FRANKLIN,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2214,2015,Property Damage Accident,2015-01-08,MADISON,OTHER,MADISON,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2221,2015,Injury Accident,2015-01-07,DAVENPORT,OTHER,DELAWARE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2246,2015,Property Damage Accident,2015-01-03,LYSANDER,OTHER,ONONDAGA,Straight and Level,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2281,2015,Property Damage Accident,2015-01-03,CLINTON,OTHER,DUTCHESS,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2288,2015,Property Damage Accident,2015-01-07,MINA,OTHER,CHAUTAUQUA,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2292,2015,Property Damage Accident,2015-01-07,VIRGIL,OTHER,CORTLAND,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2363,2015,Property Damage Accident,2015-01-04,SAUGERTIES,OTHER,ULSTER,Curve at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2398,2015,Property Damage Accident,2015-01-09,WILSON,OTHER,NIAGARA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2403,2015,Property Damage Accident,2015-01-06,NEWBURGH,OTHER,ORANGE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2420,2015,Property Damage Accident,2015-01-08,ROYALTON,OTHER,NIAGARA,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2421,2015,Property Damage Accident,2015-01-09,NEWFANE,OTHER,NIAGARA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2535,2015,Property Damage Accident,2015-01-02,HIGHLAND,OTHER,SULLIVAN,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2540,2015,Property Damage Accident,2015-01-08,ROTTERDAM,OTHER,SCHENECTADY,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2542,2015,Property Damage Accident,2015-01-09,SENECA FALLS,OTHER,SENECA,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2554,2015,Property Damage Accident,2015-01-06,RED HOOK,OTHER,DUTCHESS,Straight and Level,Snow,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2563,2015,Property Damage & Injury Accident,2015-01-07,SENNETT,OTHER,CAYUGA,Straight at Hill Crest,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2589,2015,Property Damage Accident,2015-01-09,GLENVILLE,OTHER,SCHENECTADY,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2636,2015,Property Damage Accident,2015-01-08,NEW HARTFORD,OTHER,ONEIDA,Straight and Grade,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2637,2015,Property Damage & Injury Accident,2015-01-05,NEW HARTFORD,OTHER,ONEIDA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2660,2015,Property Damage Accident,2015-01-08,TONAWANDA,OTHER,ERIE,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2667,2015,Injury Accident,2015-01-05,ORCHARD PARK,OTHER,ERIE,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2671,2015,Property Damage Accident,2015-01-07,YORK,OTHER,LIVINGSTON,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2680,2015,Property Damage Accident,2015-01-09,LIMA,OTHER,LIVINGSTON,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2681,2015,Injury Accident,2015-01-07,YORK,OTHER,LIVINGSTON,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2688,2015,Property Damage Accident,2015-01-09,WORCESTER,OTHER,OTSEGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2700,2015,Property Damage Accident,2015-01-07,CORTLANDVILLE,OTHER,CORTLAND,Curve and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2701,2015,Property Damage & Injury Accident,2015-01-06,SMITHVILLE,OTHER,CHENANGO,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2702,2015,Property Damage & Injury Accident,2015-01-07,COVENTRY,OTHER,CHENANGO,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2706,2015,Property Damage & Injury Accident,2015-01-08,MARCY,OTHER,ONEIDA,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2745,2015,Injury Accident,2015-01-09,GUILFORD,OTHER,CHENANGO,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2760,2015,Property Damage Accident,2015-01-09,HOPEWELL,OTHER,ONTARIO,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2769,2015,Injury Accident,2015-01-08,GENESEO,OTHER,LIVINGSTON,Curve and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2770,2015,Property Damage Accident,2015-01-06,CALLICOON,OTHER,SULLIVAN,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2810,2015,Property Damage Accident,2015-01-06,WAWAYANDA,OTHER,ORANGE,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2813,2015,Property Damage & Injury Accident,2015-01-09,MINISINK,OTHER,ORANGE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2815,2015,Property Damage Accident,2015-01-09,MONTGOMERY,OTHER,ORANGE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2822,2015,Property Damage & Injury Accident,2015-01-03,PUTNAM VALLEY,OTHER,PUTNAM,Curve and Grade,Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2828,2015,Property Damage Accident,2015-01-08,LA GRANGE,OTHER,DUTCHESS,Straight and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2836,2015,Property Damage & Injury Accident,2015-01-08,HARRIETSTOWN,OTHER,FRANKLIN,Straight at Hill Crest,Snow,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2839,2015,Property Damage Accident,2015-01-08,,OTHER,FRANKLIN,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2843,2015,Property Damage Accident,2015-01-08,CUYLER,OTHER,CORTLAND,Straight at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2851,2015,Property Damage Accident,2015-01-09,HASTINGS,OTHER,OSWEGO,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2863,2015,Property Damage Accident,2015-01-03,CORTLANDT,LEFT TURN (3),WESTCHESTER,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
2930,2015,Property Damage Accident,2015-01-01,EAST OTTO,OTHER,CATTARAUGUS,Straight and Grade,Cloudy,Slush,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2948,2015,Property Damage & Injury Accident,2015-01-10,LOCKPORT,OTHER,NIAGARA,Straight and Level,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
2986,2015,Property Damage Accident,2015-01-03,OYSTER BAY,OTHER,NASSAU,Curve and Level,Sleet/Hail/Freezing Rain,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3035,2015,Property Damage Accident,2015-01-09,GUILDERLAND,OTHER,ALBANY,Straight and Level,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3050,2015,Property Damage & Injury Accident,2015-01-06,BETHANY,OTHER,GENESEE,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3062,2015,Property Damage Accident,2015-01-04,WEBSTER,OTHER,MONROE,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3078,2015,Property Damage Accident,2015-01-07,WHEATLAND,OTHER,MONROE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3101,2015,Property Damage & Injury Accident,2015-01-07,GORHAM,OTHER,ONTARIO,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3144,2015,Property Damage & Injury Accident,2015-01-07,CICERO,OTHER,ONONDAGA,Curve and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3148,2015,Property Damage Accident,2015-01-09,BARRINGTON,OTHER,YATES,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3174,2015,Property Damage Accident,2015-01-10,AVON,OTHER,LIVINGSTON,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3176,2015,Property Damage Accident,2015-01-09,LIVONIA,OTHER,LIVINGSTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3180,2015,Injury Accident,2015-01-10,LIVONIA,OTHER,LIVINGSTON,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3181,2015,Property Damage Accident,2015-01-09,SPRINGWATER,OTHER,LIVINGSTON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3185,2015,Property Damage Accident,2015-01-06,BOONVILLE,OTHER,ONEIDA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3193,2015,Property Damage Accident,2015-01-03,CATSKILL,OTHER,GREENE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3203,2015,Property Damage Accident,2015-01-09,BATH,OTHER,STEUBEN,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3205,2015,Property Damage Accident,2015-01-05,JOHNSTOWN,OTHER,FULTON,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3209,2015,Property Damage Accident,2015-01-03,FULTON,OTHER,SCHOHARIE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3235,2015,Property Damage & Injury Accident,2015-01-09,FLEMING,OTHER,CAYUGA,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3242,2015,Property Damage Accident,2015-01-10,FRANKLIN,OTHER,DELAWARE,Curve and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3244,2015,Property Damage & Injury Accident,2015-01-09,NORWICH,OTHER,CHENANGO,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3246,2015,Property Damage Accident,2015-01-09,OXFORD,OTHER,CHENANGO,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3247,2015,Property Damage & Injury Accident,2015-01-09,HAMILTON,RIGHT ANGLE,MADISON,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",2
3270,2015,Property Damage Accident,2015-01-06,LIBERTY,OTHER,SULLIVAN,Straight and Level,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3280,2015,Property Damage & Injury Accident,2015-01-05,STEPHENTOWN,OTHER,RENSSELAER,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3306,2015,Property Damage Accident,2015-01-09,PIERREPONT,OTHER,ST. LAWRENCE,Straight and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3307,2015,Property Damage Accident,2015-01-04,ELMA,OTHER,ERIE,Curve and Level,Rain,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3308,2015,Property Damage Accident,2015-01-01,FINE,OTHER,ST. LAWRENCE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3320,2015,Property Damage Accident,2015-01-07,NILES,OTHER,CAYUGA,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3326,2015,Property Damage & Injury Accident,2015-01-08,OWASCO,OTHER,CAYUGA,Straight and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3328,2015,Property Damage Accident,2015-01-09,ELBRIDGE,OTHER,ONONDAGA,Straight and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3334,2015,Injury Accident,2015-01-08,EASTON,OTHER,WASHINGTON,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3336,2015,Property Damage Accident,2015-01-07,AURELIUS,OTHER,CAYUGA,Curve at Hill Crest,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3337,2015,Property Damage Accident,2015-01-03,MONROE,OTHER,ORANGE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3360,2015,Injury Accident,2015-01-06,LA GRANGE,OTHER,DUTCHESS,Curve and Level,Cloudy,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3366,2015,Property Damage Accident,2015-01-09,PUTNAM VALLEY,OTHER,PUTNAM,Curve and Grade,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3387,2015,Property Damage Accident,2015-01-10,UNION,OTHER,BROOME,Straight and Level,Clear,Dry,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3527,2015,Property Damage & Injury Accident,2015-01-06,CORTLANDVILLE,OTHER,CORTLAND,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3530,2015,Property Damage & Injury Accident,2015-01-07,CANAJOHARIE,OTHER,MONTGOMERY,Curve and Grade,Clear,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3539,2015,Property Damage Accident,2015-01-05,WHEELER,OTHER,STEUBEN,Curve at Hill Crest,Clear,Wet,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3542,2015,Property Damage & Injury Accident,2015-01-07,HORNELLSVILLE,OTHER,STEUBEN,Curve and Grade,Cloudy,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
3550,2015,Property Damage Accident,2015-01-03,COXSACKIE,OTHER,GREENE,Curve and Grade,Snow,Snow/Ice,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
